Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
A Day In The Life Of A Miskatonic University Student	B1MU	B1MU101	Adventure	Mythos Experience		8	2													C	"Sometimes, University life can be exciting. Today is one of those days. This day take you to THREE different MISCATONIC UNIVERSITY LOCATIONS. In your Speculative Civilizations course, you practice casting one SPELL with either Barrier, Circle, Sign or Chant in the card title. During Biology you dissect a MONSTER. Finally, you go on a field trip to a COUNTRY SITE where you attract an ALLY of the opposite sex as your Investigator"
Lost in the Catacombs	B1MU	B1MU102	Adventure	Heroic Adventure		6	2													C	"Catacombs and other burial mounds have fascinated humankind for aeons. Growing up near the old Roman cities of Europe, you frequently sneak into those forbidden passages. In the CATACOMBS OF ROME or the CATACOMBS BENEATH PARIS you discover that Death is not always final, as a SKELETON, ZOMBIE, and MUMMY claw their way after you. Even if you flee to a nearby CHURCH, you dicover that their master, a VAMPIRE awaits. Only if you live until the DAWN OF A NEW DAY do you survive"
The Auction	B1MU	B1MU103	Adventure	Mythos Experience		9	3													U	"Auctions are frequently good places to find extraordinary bargains for extraordinary items. Beginning in any CITY LOCATION located in Lovecraft Country, travel to THE AUCTION HOUSE in Vienna, Austria. Before the auction begins, find THIEVES IN THE ATTIC, and have a POLICE INVESTIGATION. Then, bid for an ARTIFACT or TOME that costs you two Sanity Points. Bring the item back to a second, different, CITY LOCATION in Lovecraft Country"
The Dunwich Horror	B1MU	B1MU104	Adventure	Heroic Adventure		15	5													R	"Henry Armitage asks that you accompy him to Dunwich. Begin at MISCATONIC UNIVERSITY. TRAVEL BY LAND to 3 different DUNWICH LOCATIONS with HENRY ARMITAGE and ONE OTHER PROFESSOR. On SENTINEL HILL bring together LAVINIA WHATELEY, WILBUR WHATELEY, and the SON OF YOG-SOTHOTH during the FULL MOON. Find the NECRONOMICON and the VOOLA RITUAL spell, and then return the book to a second MISCATONIC UNIVERSITY LOCATION."
The Expedition	B1MU	B1MU105	Adventure	Heroic Adventure		11	3													U	"When you left this MISCATONIC UNIVERSITY Location with your TWO ALLIES, you dreamt only of the glory of exploration. What you found however, was a harrowing voyage of TRAVEL BY SEA, a STORM of suprising strength, the UNEXPECTED CALAMITY of a shipwreck, and the lost years in AMNESIA. Waking at a SITE, you discovered that wierd old TOME - the only possession you salvaged when forced to flee from THREE MONSTERS."
The Secret of Power & Glory is Yours	B1MU	B1MU106	Adventure	Mythos Experience		6	3													U	"If one is diligent and discovers the proper sources of knowledge, one can learn to master the universe. But you can only achieve your goal if you study and travel the world. Visit 5 different GATE LOCATIONS. Find a TOME of forbidden knowledge featuring the EYE ICON. Find an ALLY that costs you Sanity"
The Unspeakable Oath	B1MU	B1MU107	Adventure	Corrupt Adventure		6	2													R	"Procuring 'hard-to-find' goods for a select clientele is good business, but that MARSH fellow (any MARSH ALLY) sure is odd with that oath on that funny TOME and all. They must be building an army! Recently they've bought THREE WEAPONS shipments. My unease soon grew to PHOBIA proportions, but if I ever break that oath, I just know that I am doomed to CATASTROPHIC FAILURE and my wife and CHILDREN HAVE NIGHTMARES"
Arthur Jermyn	B1MU	B1MU201	Ally	Steadfast Scholar & Artist	English	2	1					Europe	Any House							C	
Capt. Edward Norrys	B1MU	B1MU202	Ally	Steadfast Soldier	English	3						Europe	Any City							C	"As long as he is chosen as a defending Ally, he raises the card value of all other Attributes: Steadfast defending Allies by one point per card. Not cumulative with another Ally's Command Ability"
Capt. Karl Heinrich	B1MU	B1MU203	Ally	Steadfast Soldier	German	3						Europe	Any City							C	"As long as he is chosen as a defending Ally, he raises the card value of all other Attributes: Steadfast defending Allies by 1 point per card. Not cumulative with another Ally's Command Ability"
Dennys Barry	B1MU	B1MU204	Ally	Steadfast Gentleman	English	2						Europe	Any House							C	"If you are using a female Investigator, Dennys must be chosen as a defending Ally in Combat, and add 2 points to the value of this card"
Dr. Allen Halsey	B1MU	B1MU205	Ally	Steadfast Scholar & Doctor	"English, Latin"	2						Lovecraft	Arkham							U	The Doctor and one Ally of your choice are excluded when determining the results of an Epidemic
Erich Zann	B1MU	B1MU206	Ally	Steadfast Musician	French & German	1	1					Europe	Paris							R	"While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum"
Eusapia Paladino	B1MU	B1MU207	Ally	Steadfast Spiritualist	Latin & Atlantean	1						Europe	Any City							R	"As a Turn, Bury this card to keep one Great Old One or Outer God in play for one additional round. Eusapia and one Ally of your choice are excluded when determining the results of an Epidemic"
Henry Armitage	B1MU	B1MU208	Ally	Steadfast Professor	"English, Latin, French & German"	1			Unique			Lovecraft	Arkham							U	
Herbert West	B1MU	B1MU209	Ally	Corrupt Student	English	1			Unique			Lovecraft	Arkham							C	"When played, choose an Ally Buried in your Story Deck and slip it beneath this card. Add their card values, and both function as one Ally card. This medical student and one Ally of your choice are excuded when determining the results of an Epidemic"
Lavinia Whateley	B1MU	B1MU210	Ally	Corrupt Mother	English	1						Lovecraft	Dunwich							C	"While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. cumulative with other Allies that raise your Maximum"
Lord Edward Dunsany	B1MU	B1MU211	Ally	Steadfast Author	English & Atlantean	2						Europe	London							R	
Madame Blavatsky	B1MU	B1MU212	Ally	Steadfast Occultist	English	1						Europe	Any City							R	"Discuss philosophy with her in any Europian Location for one Turn, and Bury one Phobia"
Nathaniel Wingate Peaslee	B1MU	B1MU213	Ally	Steadfast Professor	"English, Glyph & Atlantean"	1						Lovecraft	Arkham							C	
Old Man Whateley	B1MU	B1MU214	Ally	Corrupt Cultist	"English, Latin"	2			Unique			Lovecraft	Dunwich							R	"Can know any one Spell. Bury Spell in your Story Deck after it is cast. As long as he is chosen as a defending Ally, he raises the card value of all other defending Whateleys by 1 point per card. Not cumulative with another Ally's Command Ability"
