Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Assault on Y'ha Nthlei	B2CR	B2CR101	Adventure	Heroic Adventure		12	4													R	"After your STAND AGAINST THE ORDER, find amidst the rubble the PONAPE SCRIPTURE, R'LYEH TEXT, or CTHAAT AQUADINGEN (one of these, not in English), revealing a dire plot against humanity. Convince a STEADFAST SOLDIER of this threat, and he calls in the Navy. A U-BOAT (Travel Underwater) attacks the underwater city of Y'HA-NTHLEI. Two DEEP ONES and a SHOGGOTH counterattacks lead by FATHER DAGON or MOTHER HYDRA. Clad only in a DIVING SUIT, dash your SPHERE OF NATH to the ground, burying the inhuman edifice forever"
One of the Circle	B2CR	B2CR102	Adventure	Mythos Experience		7	2													U	"The Cthulhu Mythos took form when various writers wrote to one another and built on each others' creations. You, too, can become one of this circle. Of course, take inspiration from EDGAR ALLEN POE and LORD DUSANY. Then, start writing to H.P. LOVECRAFT, ROBERT W. CHAMBERS, and ARTHUR MACHEN. Finally, write a TOME of your own"
The Cruise	B2CR	B2CR103	Adventure	Mythos Experience		5	2													U	"Begin in a CITY/WATER LOCATION, TRAVEL BY SEA to sail to a SOUTH PACIFIC LOCATION and speak with the STEADFAST CHIEF. Then use another TRAVEL BY SEA to get back to a different CITY. There must, of course, be a STORM at sea along the way"
The Royal Geographic Society	B2CR	B2CR104	Adventure	Heroic Adventure		7	2													U	"Tell us tales of (one Location each) Lovecraft Country SITES, CATACOMBS in Europe, and TOMBS in the Middle East. We expect your circle of friends to include (four total Allies) AUTHORS, ARTISTS, a SCHOLAR or PROFESSOR, and an INVENTOR or EXPLORER. Your fine gift to our humble Lodge of a scandalously dangerous ARTIFACT or TOME costing at least 1 Sanity point only proves your generosity. Welcome to the Society!"
The Strange Case Of Charles Fort	B2CR	B2CR105	Adventure	Heroic Adventure		11	4													R	"Working with a PROFESSOR or INVENTOR, you uncover disturbing correlations between certain celestial phenomena (ALDEBARAN MOVES IN THE SKY, the FULL MOON, and an ECLIPSE) and earthly disasters including EARTHQUAKE, STORM, and DROUGHT. Field work takes you to two LOCATIONS in two different REGIONS."
The Temple	B2CR	B2CR106	Adventure	Mythos Experience		7	2													U	"The legend of Lost Atlantis thrive in every culture. Behind every legend, however, lies a kernel of truth. TRAVEL UNDERWATER (U-BOAT) from any WATER LOCATION to the LOST TEMPLE OF ATLANTIS, using the DISC OF THE HYADES to find your way. Go to the Temple, and find a TOME. Then, return to a different WATER LOCATION"
Arthur Machen	B2CR	B2CR201	Ally	Steadfast Author	English & Hyperborean	1						Europe	Any City							C	"While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum"
Edgar Allen Poe	B2CR	B2CR202	Ally	Steadfast Author	English & Atlantean	2						Lovecraft	Providence							C	
George Gammell Angel	B2CR	B2CR203	Ally	Steadfast Professor	"English, Glyph"	1						Lovecraft	Providence							C	
Robert W. Chambers	B2CR	B2CR204	Ally	Steadfast Author & Artist	English & French	1						Any Site								C	
Wakalea	B2CR	B2CR205	Ally	Steadfast Chief	Glyph & Hyperborean	2						South Pacific								C	"Bury this card to either keep a Great Old One or Outer God in play for an additional Round, or Bury a Great Old One or Outer God in play"
