Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Brotherhood of the Black Pharaoh	B3LN	B3LN101	Adventure	Corrupt Adventure		9	3												R	"The Brotherhood is most exclusive. First, you must find a sponsor (an ALLY who knows Arabic). You must aquire a personal collection of Mythos ARTIFACTS or TOMES that required at least 7 Sanity points to comprehend. You must have travelled to at least SIX different LOCATIONS in the Middle East. You are now a member of a Secret Society"
Make Money Fast	B3LN	B3LN102	Adventure	Corrupt Adventure		10	3												U	"The OBSESSIVE/COMPULSIVE types are always collecting something. Take, for example, those collectable Mythos cards such as great CTHULHU, evil HERBERT WEST, and the mysterious KITAB AL-AZIF. Keep them out of the harmful rays of DIRECT SUNLIGHT and avoid the UNEXPECTED CALAMITY, and you might find a sucker buyer through a SURPRISE MEETING. They might even bring you enough money to put yourself through a UNIVERSITY."
Save The World!	B3LN	B3LN103	Adventure	Heroic Adventure		18	3												C	"Following a MYTHOS EXPERIENCE, you spy an evil CORRUPT ALLY down by THE DOCKS loading an akward container onto a rusty TRAMP STEAMER. Stealing aboard, you search his cabin, finding two odd TOMES and the ORNE FORMULA. Hide during the DAY. The ship finally anchors at an unknown ISLAND. At a clearing, you develop a PHOBIA from their weird chanting but, screaming, you end their unholy ritual with WEAPON blazing, slaying the foul CULTIST FROM THE PAST. Your quick ELDER SIGN seals the portal just as a GREAT OLD ONE or OUTER GOD begins to manifest. The world is saved... or is it? "
Secrets of the Silver Twilight	B3LN	B3LN104	Adventure	Corrupt Adventure		8	2												U	"The Silver Twilight demands that you find and translate a TOME in a language that you do not already speak, and learn at least two SPELLS. Come with three ALLIES to our SILVER TWILIGHT LODGE and, before JOHN SCOTT or CARL STANFORD, summon any Greater MONSTER You are now a member of the Silver Twilight Secret Society"
Seeking Everlasting Life I	B3LN	B3LN105	Adventure	Corrupt Adventure		5	1												U	"The search for everlasting life has consumed the imaginations of dreamers for thousands of years. Ignoring the sage advice of two STEADFAST ALLIES, you shun their company and instead fall in with a CORRUPT ALLY offering the secret of Everlasting Life. He reveals the existence of this exclusive goal by showing you a TOME that bears the Skull icon. Here you discover the RESURRECTION spell. Your dream is possible! Your goal is within reach! (to be continued...)"
Seeking Everlasting Life II	B3LN	B3LN106	Adventure	Corrupt Adventure		6	3												U	"After completing the SEEKING EVERLASTING LIFE I Adventure, you must now find a greater teacher (and more dangerous knowledge). Knowing the RESURRECTION spell now find a GRECIAN LEKYTHOS containing the ""essential saltes"" of an ancient magus, and successfully use the spell and artifact to Resurrect a CULTIST FROM THE PAST during the NEW MOON. He reveals that you will find everlasting life only by devoting yourself utterly to a GREAT OLD ONE or OUTER GOD"
Summon Great Cthulhu	B3LN	B3LN107	Adventure	Corrupt Adventure		13	5												R	"In seeking ultimate power one sometimes finds ultimate power. As a member of a SECRET SOCIETY, you must gather the THREE PIECES OF THE R'LYEH DISK. Then, TRAVEL to the lost island of R'LYEH. By the light of the WAXING MOON invoke CTHULHU with your monstrous chant. You must play this Adventure card while CTHULHU is in play. From this moment on, discard or bury the CTHULHU card as a result of card play only."
The Sun Worshipper	B3LN	B3LN108	Adventure	Corrupt Adventure		10	3												U	"TRAVEL BY CAMEL to three different LOCATIONS in the MIDDLE EAST and meet two ALLIES who SPEAK ARABIC. They speak of an ancient legend foretelling of a coming DROUGHT where the searing eye of god will be revealed in a shaft of DIRECT SUNLIGHT. Using a second CAMEL card, hasten to the GREAT TEMPLE AT KARNAK. There, Summon a FIRE VAMPIRE in propitiatory worship of Amun-Ra, the Sun-God"
Abdul Alhazrad	B3LN	B3LN201	Ally	Corrupt Cultist	Arabic & Hyperborean	3	-2		Yes	Past	Middle East								U	Can know any two Spells. Bury Spells in your Story Deck after they are cast
Ahmed	B3LN	B3LN202	Ally	Steadfast Guide	Arabic	3					Middle East	Cairo							C	"Protection from Police Investigation and from cards that cause you to lose Artifacts and Tomes. At the moment when you would lose an Artifact or Tome, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
