Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
A Lender Be	Dreamlands	DL101	Adventure	Fantastic Dream		5	2													C	"You were so enamored of books that your goal was to be a librarian like your mentor TUKOR. He set you a task: You must discover 2 TOMES in different languages, and within them 2 SPELLS with different icons. You had to travel to 3 different GREAT LIBRARY OF THE DREAMLANDS cards, but in the end you succeeded. (When you play this card you may move your Spells among legal Tomes and Allies who can know a Spell)"
A Midsummer Night's Dream	Dreamlands	DL102	Adventure	Mythos Experience		8	2													R	"When THE CHILDREN HAVE SWEET DREAMS, you are finally able to rest. Falling asleep, you leave your Waking World HOUSE behind and find yourself wandering through the GATE OF DEEPER SLUMBER and into the CAVERN OF FLAME. Then the NIGHTMARE strikes! You wake to find yourself at a Waking World SITE! How did you get here? And what's that you're holding? (If you are in the Waking Wlord when this card is played, you may also play one Dreamlands Artifact or Tome)."
Armed and Clueless	Dreamlands	DL103	Adventure	Fantastic Dream		7	3													R	"You first came across it in the old RUINS. What is this ENCHANTED WEAPON, and how does it work? You knew the ancient DREAMER could figure it out, but how to find him? You travelled to a LOCATION in the EAST, and then a LOCATION in the WEST, and finally found him in an EXOTIC LOCATION."
Beyond Your Wildest Dreams	Dreamlands	DL104	Adventure	Fantastic Dream		5	2													C	"All your life you thought magic a child's myth, but now you know the magnificent truth! To begin you journey to a distant EXOTIC LOCATION - first TRAVEL BY LAND, and then TRAVEL BY AIR. Once there, with the proper STAR in the sky, you take out the ancient TOME and chant the SPELL found within. You perform the magical rites of inititiation, and now may call yourself a PRIEST of the eternal powers."
Carter's Quest	Dreamlands	DL105	Adventure	Heroic Adventure		12	5													R	"Using CARTER'S CLOCK, you met up with fellow explorer RANDOLPH CARTER at a SITE during a FANTASTIC DREAM. He told you about THE SNAKE-DEN, near the LAIR of a MONSTER. To reach it you traveled on a ZEBRA or YAK (choose one) and met a CORRUPT CULTIST who knew the way to the ISLAND LOCATION. You and your FRIEND went on to the CASTLE OF THE GREAT ONES ON KADATH, and then retruned to tell your story to the KING."
Come Sail Away	Dreamlands	DL106	Adventure	Mythos Experience		6	2													C	"Living in a quiet KINGSPORT LOCATION, you thought your life would never change. But one day the old SEAMAN invited you to TRAVEL BY SEA to lands he said you had never even imagined. Saying good-bye to your old friend BASIL ELTON, you set sail across the starlit seas. After what seemed like months of drifting with the winds, you saw a LIGHTHOUSE in the distance, and finally made PORT at a DREAMLANDS LOCATION."
Days of Wine and Roses	Dreamlands	DL107	Adventure	Fantastic Dream		10	3													R	"The roses were blooming by the HOUSE LOCATION in Kingsport when you first noticed the SUN SPOTS. As if in a dream you travelled to the HARBOR OF CELEPHAIS, where you played the LUTE OF OONAI and drank the WINE OF PNOTH. But alas, with EVENING comes sorrow, and you lost your beloved STEADFAST ALLY to the AWFUL DOOM OF CERRIT."
Doomed if You Do	Dreamlands	DL108	Adventure	Corrupt Adventure		8	3													C	"The power must be yours! You listened to the whispers of your LIVING DEAD ALLY and became obsessed with learning the secrets of the Gods. Searching all over MNAR (3 different locations), you finally discovered an elusive BEING OF IB who would teach you the rites to propitiate the Great Old One BOKRUG. In the favor of the god, you were taught the SPELL that can only be found in the TOME with a Dream Icon."
Four-Armed is Forewarned	Dreamlands	DL109	Adventure	Heroic Adventure		5	2													C	"Ah, the lure of the mysterious underworld - what will you meet in the dark land of the realm of dream? It is wise to go prepared, and so you bring your favourite WEAPON and an EXPLORER. By NIGHT you travel deep to TWO different UNDERWORLD LOCATIONS. But how could you have known of the terrible horror of the towering GUG?!? Your Weapon and Ally protect you; still you cannot erase that dark memory that etched a PHOBIA into your psyche."
If I Ran the Zoog	Dreamlands	DL110	Adventure	Heroic Adventure		13	3													U	"I'd galumpf on the back of my big hairy Yak, to TRAVEL so far by the light of a STAR. To the dark OPAL THRONE where the KING sits alone, corralling, at noonith, a burrowing VOONITH. And in the VALE OF PNOTH snag a big BUOPOTH. I would capture a GUG in the TEMPLE OF BOKRUG, and then to the glen where they're dancing to fugues those whirlingly, twirlingly, ANGRY ZOOGS."
