Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
A Heroic Rescue	Limited	Ltd101	Adventure	Mythos Experience		7	3												U	"A STEADFAST AUTHOR, friend ally of yours, has been abducted by agents of the Mythos. Gathering your friends, you know you can rely on the REPORTER, the DOCTOR, the PRIVATE EYE, and the WIFE. The CORRUPT CULTIST has his lair in a CEMETERY, where you corner him with a WEAPON and capture his terrible TOME."
Knee-Deep in Doom	Limited	Ltd102	Adventure	Mythos Experience		5	2												C	"Many of the Mythos tales feature a poor unfortunate fellow who, despite the best of intentions and regardless of merit, is wholly consumed by the horrors from beyond. Before your Sanity runs out, you must have discovered physical proof of the existence of the Mythos (20 POINTS-WORTH OF MONSTERS in your Story Deck). "
On The Edge	Limited	Ltd103	Adventure	Mythos Experience		6	4												R	"Ah! The brink of Insanity can bring enlightment. Find a way to drive your own SANITY below SIX POINTS. Of course, thay then carry you off to the SANATARIUM. The DOCTOR there, a CORRUPT CULTIST in disguise, chooses your for his diabolical experiments. First he tries to induce TWO different PHOBIAS. Then, using the instructions in his CALL OF CTHULHU TOME, he ""REROLLS"" YOUR INVESTIGATOR"
One Dark and Stormy Night	Limited	Ltd104	Adventure	Mythos Experience		6	2												C	"It just seems that things always go from bad to worse. During a POWERFUL STORM, travel to THREE different LOCATIONS along the MISCATONIC VALLEY, using at least one TRAVEL BY CAR and finding refuge in a nearby CHURCH"
Stand Against the Order	Limited	Ltd105	Adventure	Heroic Adventure		9	4												R	"You and two STEADFAST ALLIES are (at first) greatly impressed by the strange magnetic charisma of BARNABAS MARSH, JEREMIAH BREWSTER and ROBERT MARSH (two of these three), leaders of the Order. You soon notice evidence of the INNSMOUTH LOOK among their followers. Stealthy investigation of the MARSH MANSION and the MARSH REFINERY reveals convincing evidence of their terrible customs and foul plot for humankind. In a desperate attempt to rid the world of this menace, you DYNAMITE the ESOTERIC ORDER OF DAGON"
The Birds and the Byakhees	Limited	Ltd106	Adventure	Heroic Adventure		6	2												R	"Many strange and unusual species inhabit the surrounding terrain. Your job is to study them. Arising at the DAWN OF A NEW DAY, you travel to TWO different WATER LOCATIONS to meet an ALLY of the opposite sex as your Investigator. Together you travel to TWO different FOREST/COUNTRY LOCATIONS to go MONSTER watching. Bring your journal back to any PRESS LOCATION or SOCIETY LOCATION."
The Curious Parcel	Limited	Ltd107	Adventure	Mythos Experience		6	2												C	"Old, eccentric Uncle Eliott has done it this time. Now he's disappeared, and is presumed dead by the authorities. But wait... a package today has been delivered to you! Find a TOME in a language other than English. Learn at least ONE SPELL in that Tome. Travel to ONE LIBRARY, ONE CEMETERY, and a GATE LOCATION (3 cards). Finally meet TWO ALLIES that are either AUTHORS, SCHOLARS, PROFESSORS, or ARTISTS"
The Great Epidemic	Limited	Ltd108	Adventure	Heroic Adventure		9	4												R	"That year, a terrible plague fell on Arkham. Assisting the DOCTOR, you struggle THREE DAYS against the worst TYPHOID EPIDEMIC in memory. You marvel at the skill of one student in particular, HERBERT WEST, who works tirelessly, often late into the NIGHT. Many in town die, including the DOCTOR (he must be in your Story Deck). Later, a mad ZOMBIE-thing runs amok and kills several people. It is now incarcerated at a SANITARIUM"
The Interesting Shop	Limited	Ltd109	Adventure	Mythos Experience		5	1												C	Spend the day traveling about town searching for that just-right knick-knack to adorn your mantle. Visit 4 different CITY LOCATIONS where you might find an ARTIFACT or TOME and find one thing that costs you at least 1 sanity point
The Outsider	Limited	Ltd110	Adventure	Heroic Adventure		7	3												R	"A eerie CORRUPT CULTIST moved into the HOUSE with a Gate at the edge of town. You spied him hauling THREE ARTIFACTS or TOMES into the storied place by the light of the WAXING MOON. Rushing back to the BUSINESS, the TOWNSFOLK RIOT in response to your warning, interrupting his foul ritual IN THE NICK OF TIME"
The Theron Marks Society	Limited	Ltd111	Adventure	Heroic Adventure		6	2												U	"You are not alone. The Theron-Marks Society believes your wild stories of a MONSTER. We'll help you take care of that PHOBIA, as well. Our members will examine that odd TOME with that supposed SPELL that you found in the COUNTRY HOUSE. When you are feeling better, you and those TWO STEADFAST ALLIES are welcome to return as proud members of the Theron-Marks Society. One final thing - bring a WEAPON"
Your First Big Story	Limited	Ltd112	Adventure	Mythos Experience		6	2												C	"The local newspaper wants your story! To get this story published, you must include the following elements that show a disturbing trend: search for evidence in THREE GATE LOCATIONS located in tree different cities or towns; have known an ALLY that costs you Sanity; discover a TOME or ARTIFACT as evidence, and get back to a PRESS LOCATION while it is DAY."
Abigail Winthrop Marsh	Limited	Ltd201	Ally	Steadfast Wife	English	2					Lovecraft	Innsmouth							C	Add 2 points to the value of this card while any other Marsh card is in play as an Ally
Albert N. Wilmarth	Limited	Ltd202	Ally	Steadfast Professor	"English, Latin & Greek"	2					Lovecraft	Arkham							U	
Albert Shiny	Limited	Ltd203	Ally	Corrupt Friend	English	4			Yes		Lovecraft	Any City							R	"Does not use Weapons. While this card is in play, you may Discard any Shoggoth that attacks your Investigator at the moment that it is revealed. At the end of that Round, bury poor Albert in your Story Deck."
Ammi Pierce	Limited	Ltd204	Ally	Steadfast Farmer	English	2					Lovecraft	Miskatonic Valley							C	"While he is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum."
Ann White	Limited	Ltd205	Ally	Steadfast Housekeeper	English	1					Lovecraft	Providence							C	Add 1 point to this card's value when either Rhoby Harris or Mercy Dexter is in play.
Arthur Munroe	Limited	Ltd206	Ally	Steadfast Reporter	English	2					Any City								C	"While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum."
Asenath Waite Derby	Limited	Ltd207	Ally	Corrupt Wife & Living Dead	English	1	-1				Lovecraft	Arkham							R	Cannot be played if you have Ephraim Waite in play. Can know any one Spell. Bury Spell in your Story Deck after it is cast.
Barnabas Marsh	Limited	Ltd208	Ally	Corrupt Cultist	English	1	-1		Yes		Lovecraft	Innsmouth							R	Add 1 point to the value of this card if your Investigator has the Jewelry of the Deep Ones.
Charles Dexter Ward	Limited	Ltd209	Ally	Corrupt Student	English	2					Lovecraft	Providence							U	Add 2 points to the value of this card while you have any Attributes: Corrupt Cultist in play as an ally.
Crawford Tillinghast	Limited	Ltd210	Ally	Corrupt Inventor	English	2			Yes		Lovecraft	Providence							U	"You may place an Artifact card beneath this card on your Turn in any Location. If this card is discarded or Buried, the Artifact suffers the same fate. The Artifact can be replaced with another, if lost."
Dr. Marinus Bicknell Willett	Limited	Ltd211	Ally	Steadfast Doctor	English	1					Lovecraft	Providence							C	This Doctor and one Ally of your choice are excluded when determing the results of an Epidemic
Edward Pickman Derby	Limited	Ltd212	Ally	Steadfast Poet	English	2					Lovecraft	Arkham							R	Add 1 point to the value of this card while you have Asenath Waite Derby in play
Ephraim Waite	Limited	Ltd213	Ally	Corrupt Cultist & Living Dead	English	2	-1		Yes	Past	Lovecraft	Innsmouth							R	"Cannot be played if you have Asenath Waite in play. When you bury Ephraim, you may immediately play Asenath Waite Derby card. Can know any one Spell. Bury Spell in your Story Deck after it is cast."
George Birch	Limited	Ltd214	Ally	Corrupt Undertaker	English	3					Any Cemetery								C	Add 1 point to the value of this card while your current Location is a cemetery.
Harvey Walters	Limited	Ltd215	Ally	Steadfast Reporter	English	2					Lovecraft	Arkham							C	"While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum."
Howard Lovecraft (v1)	Limited	Ltd216	Ally	Steadfast Author	English & Hyperborean	1	1				Lovecraft	Providence							U	Remain in any Providence Location with Lovecraft for one Turn and Bury one Phobia
Jeremiah Brewster	Limited	Ltd217	Ally	Corrupt Cultist	English	3	-1				Lovecraft	Innsmouth							C	Add 1 point to the value of this card if your Investigator has the Jewelry of the Deep Ones.
K.J. Hooper	Limited	Ltd218	Ally	Steadfast Private Eye	English	3					Lovecraft	Arkham							C	"Protection from Police Investigation and from cards that cause you to lose Artifacts and Tomes. At the moment when you would lose an Artifact or Tome, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
Mercy Dexter	Limited	Ltd219	Ally	Steadfast Sister	English	3					Lovecraft	Providence							C	Add 1 point to this card's value when either Rhoby Harris or Ann White is in play.
Nahum Gardner	Limited	Ltd220	Ally	Steadfast Farmer	English	2	1				Lovecraft	Miskatonic Valley							C	
Randolph Carter	Limited	Ltd221	Ally	Steadfast Dreamer	Knows English & French	2					Any City								R	"As long as he is chosen as a defending Ally, he raises the card value of all other Attributes: Steadfast defending Allies by one point per card. Not cumulative with another Ally's Command Ability"
Raymond Legrasse	Limited	Ltd222	Ally	Steadfast Police Detective	English & French	3					Lovecraft	Any City							C	"Protection from Police Investigation and from cards that cause you to lose Artifacts and Tomes. At the moment when you would lose an Artifact or Tome, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
Rhoby Harris	Limited	Ltd223	Ally	Steadfast Wife	English & French	2					Lovecraft	Providence							R	Add point to this card's value when either Mercy Dexter or Ann White is in play.
Robert Harrison Blake	Limited	Ltd224	Ally	Steadfast Artist	English	1	1				Lovecraft	Providence							R	
Robert Marsh	Limited	Ltd225	Ally	Corrupt Cultist	English	2	-1		Yes		Lovecraft	Innsmouth							U	Add 1 point to the value of this card if your Investigator has the Jewelry of the Deep Ones.
Zadok Allen	Limited	Ltd226	Ally	Steadfast Bum	Knows no languages	1					Any Outside								C	"While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum."
Chime of Tezchaptl 	Limited	Ltd301	Artifact				-2												R	Flip this card face-down to cancel an opponent's Spell that was just cast. 
Dynamite (v1)	Limited	Ltd302	Artifact	Weapon		6	-1												C	"Add 6 points to Ally's value. One weapon per Ally. If Ally is Buried, also Bury this card. Discard both Dynamite and Ally after use in Combat. "
Elephant Gun 	Limited	Ltd303	Artifact			3													U	"Add 3 points to Ally's value. One weapon per Ally. If Ally is Discarded or Buried, this card also suffers the same fate. "
Enchanted Cane	Limited	Ltd304	Artifact				-1		Yes										R	"Increase your Investigator's maximum Sanity by five while this card is in play. If this card is Discarded or Buried, Sanity points above your maximum are immediately lost. "
Jewelry of the Deep Ones	Limited	Ltd305	Artifact				-1												U	"Increase the card value of all Deep Ones, Father Dagon, Mother Hydra, and certain Corrupt Cultists by 1 point. "
Mi-Go Braincase 	Limited	Ltd306	Artifact				-1												R	"Place this artifact with an Ally. That Ally can now know one Spell. Bury Spell when cast. If this Artifact is Discarded or Buried, the Spell suffers the same fate. "
Mist Projector 	Limited	Ltd307	Artifact	Enchanted Weapon		3	-1												R	"Add 3 points to Ally's value. One weapon per Ally. If Ally is lost, also lose this card "
Paracelsus' Sword 	Limited	Ltd308	Artifact	Enchanted Weapon		2	-1												U	"Add 2 points to Ally's value. One Weapon per Ally. If Ally is Discarded or Buried, this card also suffers the same fate. "
Ring of Eibon 	Limited	Ltd309	Artifact				-1												R	Spend 2 Sanity points to gain a 13-second glacne at one opponent's hand and choose their next legal play (cannot be a Pass) of a card from their hand to the table. Flip this card face down after use. 
Seal of Isis 	Limited	Ltd310	Artifact				-1												C	"Protects against theft. If opponent plays a card that would cause you to lose an Artifact, Tome, or Spell from a Tome, you may choose to Bury this card instead. Opponent also immediately Buries card used. "
Shining Trapezohedron	Limited	Ltd311	Artifact				-2		Yes										U	Can be used in the place of any one of the cards needed to play Great Old One or an Outer God. Bury this card when used
Shotgun 	Limited	Ltd312	Artifact	Weapon		2	1												C	"Add 2 points to Ally's value. One Weapon per Ally. If Ally is Discarded or Buried, this card also suffers the same fate. "
Sphere of Nath	Limited	Ltd313	Artifact				-2		Yes										R	"Take the top card of your opponent's Story Deck and Discard it. If acard revealed is not a Location, bury it. Repeat until a Location card is revealed. Ignore Sanity gain/loss; may use Gate. Then, bury this card. "
Star Stone of Mnar 	Limited	Ltd314	Artifact				-1												U	Designate one Threat to be affected before Monsters are revealed. Halves the attack from Lesser Servitors and Lesser Independents. 
The Brazen Head	Limited	Ltd315	Artifact				-2		Yes										U	"Can know any one spell. Bury Spell in your Story Deck after it's cast. Knows Greek, Latin & Chinese. "
The Ultra-Violet	Limited	Ltd316	Artifact				-1												R	"While in play, this card makes all Invisible monsters in any attacking Threat Visible, but adds 1 point to the card value of each affected Monster "
Tommygun 	Limited	Ltd317	Artifact	Weapon		3													C	"Add 3 points to Ally's value; Ally is now corrupt. One weapon per Ally. If Ally is Discarded or Buried, this card also suffers the same fate. "
Amnesia 	Limited	Ltd401	Event																C	"Randomly choose one card from your opponent's Hand that he or she must Discard, then Bury this card. "
An Unexpected Calamity (v1)	Limited	Ltd402	Event																U	"Play this card and announce ""Pass."" This Pass ends the current Round, even if it is the only Pass in the Round. "
Bacteriophobia 	Limited	Ltd403	Event	Phobia															C	"Fear of Germs. Lose 1 Sanity point if you or your Allies have a Weapon, Tome, or Artifact when this card is played, and each time you play an Artifact, Tome or Weapon card. "
Beatrice is Released From the Attic 	Limited	Ltd404	Event				-1												R	"Choose one Ally up to 4 points in value (including Weapon) that your opponent must Bury, then Bury this card. "
Car (v1)	Limited	Ltd405	Event	Travel by Land															C	Immediately play a new Location in the same Region right-side up on top of your Story Deck. 
Catastrophic Failure 	Limited	Ltd406	Event																C	The Weapon held by one Ally malfuctions catastrophically and dramatically. Bury the target Ally and Discard his or her Weapon. 
Children Have Nightmares 	Limited	Ltd407	Event				-1												U	"All Allies of one opponent are reduced by 2 points for the remainder of this Round, to a minimum of 1. Bury this card at the end of the Round. "
Claustrophiobia 	Limited	Ltd408	Event	Phobia															C	Fear of Enclosed Spaces. Lose 1 Sanity point if you are currently at an Inside Location and at the beginning of each Turn that you are Inside. 
Dawn of a New Day	Limited	Ltd409	Event	Day			1												C	Bury any Night or Day Event in play. Bury this card if any Day or Night Event is played. 
Demophobia 	Limited	Ltd410	Event	Phobia															C	"Fear of Crowds. Lose 1 Sanity point each time you play an Ally card, by whatever means, alongside your Investigator. "
Dendrophobia 	Limited	Ltd411	Event	Phobia															R	Fear of Trees. Lose 1 Sanity point if you are currently at a Forest Location and at the beginning of each Turn that you are in a Forest Location. 
Direct Sunlight 	Limited	Ltd412	Event	Day															U	It is now Day. Bury any Night or Day Event in play. Bury this card if any Day or Night Event is played. 
