Name	Set	Image	Type	Attributes	       Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Dimension	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Text
A Good Day In A Bad City	Movieland	Movie101	Adventure	Movie Experience		8	3														"You seek the autograph of your favorite AUTHOR at a BUSINESS where the author is releasing a new book.  On the way, MRS. SHAND takes you to SIX NEW YORK GATE LOCATIONS but she won't say why.  A PHOBIA sets in as you begin to see an unmistakable BAD AURA forming around her.  A SHADOW emerges from the darkness, into the DAY light, and makes your soul reel with panic.  In an act of utter desperation, you flee the Bradford by climbing the FIRE ESCAPE but end up paralyzed with fear and unable to move as your brain swells with insanity."
A Narrow Escape	Movieland	Movie102	Adventure	Heroic Adventure		6	2														"Dropping the contents of your PURSE to CREATE CONFUSION, you hop in THE ELEVATOR of the Bradford to evade the covenists hot on your trail. You manage to lose them by going to THREE NON-GATE LOCATIONS before running into the very person who can save you: MITCH McALISTER. He takes you on his personal sea-plane and flies far away from all the commotion."
A Penny Saved...	Movieland	Movie103	Adventure	Corrupt Adventure		10	4														"While at a BUSINESS you refer to as the pawn shop, you see MR. SHAND and he is there pawning his MASONIC BAROMETER. He begs you to loan him money and offers you a copy of LUTHER. As you put it in your PURSE, he takes some PAIN BE GONE to help with his depression over losing his favorite items. He says to you that he will jump from THE ROOF of the Bradford if he loses his precious things."
A Promising Start	Movieland	Movie104	Adventure	Heroic Adventure		5	1														You meet ROSEMARY WOODHOUSE AND GUY WOODHOUSE at their housewarming party at APT 7-E.  THey have lots of friends and you meet ONE FEMALE STEADFAST ALLY.  She shows you how she survives life in the big city: she carries a WEAPON in her purse.
A Thorough Investigation	Movieland	Movie105	Adventure	Heroic Adventure		12	4														"After a MOVIE EXPERIENCE, you team up with OFFICER NETTLER and together, you research the goings-on of the Bradford. FOUR TOMES provide necessary details that you need to locate the FOUR COVENISTS that are out to destroy the world. Before long, THERESA GENOFRIO finds herself in a sticky situation while trying to cenverly gather incriminating data on the Castevet's and plummets to her death from the window of APT 7-D. Seeking out her relatives, you find that she had a brother in the navy named PVT. GERALD GENOFRIO, who coincidentally is a.w/o l. and presumed to be hiding at TCH-KULOO'S IGLOO."
Anyone For Tanis	Movieland	Movie106	Adventure	Movie Experience		7	2														"Despite reason and fate, you become friends with FOUR COVENISTS.  Your best friend, the AUTHOR, attempts to warn you of their evil nature, but his DOCTOR tells you he is in a coma.  While you chat on the phone, the smell of TANIS ROOT surrounds you as RABID MICE (at least one in your Story Deck) invade your apartment.  You tell the doctor of the MOUSE BITE which you believe gave you RABIES."
Become The Foresaken	Movieland	Movie107	Adventure	Movie Experience		8	3														"You are beginning to think that evil forces are out to get you.  You suffer more and more from PARANOIA because of the strange noises you hear coming from APT 7-D.  Exhausted and waiting, you fall fast asleep while listening to the chanting next door.  You dream of a FORBIDDEN STAIRCASE, and THE POPE leads you to the safety of a TRAVEL BY SEA event."
Born & Bread To Be A Dreamer	Movieland	Movie108	Adventure	Movie Experience		7	1														"PLAY THIS ADVENTURE ONLY IF YOU ARE CURRENTLY IN THE DREAMLANDS.      You are piecing it all together because you can't remember much and you woke up in THE BEDROOM OF APT. 7-E IN THE DREAMLANDS with a screaming hangover. While at a PARTY!, you met THREE ALLIES FEATURING THE DREAMER ATTRIBUTE. Together, you shared WINE OF PNOTH and VODKA BLUSH until morning came. How you got from the Bradford to the dreamlands is still a mystery, and you'll probably never know exactly what was in that bitter wine."
Decipher A Strange Reality	Movieland	Movie109	Adventure	Heroic Adventure		8	2														"Shortly after finding MRS. GARDENIA'S DIARY, your good friend EDWARD 'HUTCH' HUTCHINS (buried in your story deck) tells you to meet him at the TIME-LIFE BUILDING to tell you something important about the diary and it's author.  Unfortunately, while travelling to TWO DREAMLANDS LOCATIONS, Hutch becomes a victim of a CHANT OF ILL DOING and dies."
Deep Into The Subplot	Movieland	Movie110	Adventure	Corrupt Adventure		11	3														"While searching for a place to live, you come across the LOBBY OF THE BRADFORD one day and the manager shows you TWO OTHER BRADFORD LOCATIONS.  Your friend Hutch tells your of the hideous mob that attacked and killed ADRIAN MERCATO in that very lobby, in the 1890's.  You dream of the place called ST-BERNADETTE SCHOOL FOR GIRLS and encounter TWO NUNS who speak of terrible things that the TRENCH SISTERS did in the Bradford."
Discover An Evolutionary Blunder	Movieland	Movie111	Adventure	Corrupt Adventure		10	3														"Something is amiss at GUY WOODHOUSES' HOUSE. It seems that MRS.TEMPLETON has been doing the 'nasty' with MR. WANG'S WANG. In some sort of ritual, the DEMONIC INSEMINATION took place and gave rise to one of history's most horrible evolutionary blunders. To try and save the world from the hideous thing begat by those covenists, you travel to an OMAHA LOCATION where you are given TWO TOMES THAT COST SANITY TO FIND."
Journey Of All Journeys	Movieland	Movie112	Adventure	Quest		12	4														"At ST-VINCENT'S HOSPITAL you are poked and prodded until well enough to complain and be sent to THE OFFICE OF DR. HILL.  There, you are hypnotized, and you are made to remember what led up to your mental collapse.  It seems that a PVT. GERALD GENOFRIO found you snooping arround the army base one NIGHT, and caught you fumbling with the controls of some indescribable machine hidden in one of the hangars.  He apparently tried to arrest you but was thrown, along with you, into the vast machine.  From there you both travelled to TWO DREAMLANDS LOCATIONS and TWO NEW AEON LOCATIONS where you meet a NEW AEON ALLY.  Then you TRAVEL BY SEA in hopes of getting home."
Knee Depp In Death	Movieland	Movie113	Adventure	Corrupt Adventure		5	2														"Living in the big city leads to lots of friendships and lots of death.  Accumulate TEN POINTS WORTH OF ALLIES IN YOUR STORY DECK.  (printed value on card only).  Since there is such an accumulation of bodies, unprepared for the stench of death, a terrible bout of SEPLOPHOBIA sets in."
Moving Day	Movieland	Movie114	Adventure	Movie Experience		7	2														"While at EDWARD HUTCHINS' APT. you ask him for a reference so that you can move to a new apartment.  He agrees and the DAY is moving day.  The CAB driver takes you to THE BRADFORD FRONT SIDEWALK where he drops you and your luggage.  TWO STEADFAST ALLIES who call themselves movers, struggle to get the KING SIZE MATRESS through the doorway."
One Of The Coven	Movieland	Movie115	Adventure	Corrupt Adventure		11	4														"After being very hesitant, GUY WOODHOUSE meets ROMAN AND MINNIE CASTEVET, his new neighbors.  He discovers that TANIS ROOT and BABY'S BLOOD & FLESH can be used to further his career.  Before becoming a member of the coven, he must still meet a COVENIST FROM THE PAST and a TOME FROM THE DREAMLANDS."
Sent Through Time And Hell	Movieland	Movie116	Adventure	Quest		8	3														"All your life you were told you are a DREAMER, but you rather fancy yourself more of an adventurer.  Becoming more familiar with covenists in your building, you spend most of your time talking in THE STUDY OF APT 7-D.  You learn of TWO ARTIFACTS (NOT WEAPONS) that allow the folding of space-time.  With great haste, you travel back in history and meet a PAST ALLY and show that person THREE MOVIELAND LOCATIONS.  You then want to see how things used to be and travel through time to TWO WAKING WORLD LOCATIONS.  Ah, the good ol' days..."
Terror In The Gulf	Movieland	Movie117	Adventure	Quest		9	3														"You and PVT. GERALD GENOFRIO have been called in to fight in the Gulf War.  Beginning your training (ONE MOVIELAND EVENT) at the U.S. NAVAL INSTALLATION, you proceed to THREE MIDDLE EAST LOCATIONS.  As you become more and more familiar with the arid country, you meet FOUR ARABIC SPEAKING ALLIES who tell you not to go out adventuring unless it is DAY.  You then try to evade the action and TRAVEL BY SEA until the battle subsides."
The Haunted Appartment	Movieland	Movie118	Adventure	Mythos Experience		3	0		Unique												"Find your way to an APARTMENT where a MONSTER devours your favorite STEADFAST ALLY.  Your CORRUPT ALLY says that it''s really no problem, and that all you must do to survive is go to an OUTSIDE location and read a TOME."
