Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
A Day In The Life Of A Miskatonic University Student (RP)	Repointed	RP101	Adventure	Mythos Experience		4	1												C	"Sometimes, University life can be exciting. Today is one of those days. This day take you to 3 different MISCATONIC UNIVERSITY LOCATIONS. In your Speculative Civilizations course, you practice casting one SPELL with either Barrier, Circle, Sign or Chant in the card title. During Biology you dissect a MONSTER. Finally, you go on a field trip to a COUNTRY SITE where you attract an ALLY of the opposite sex as your Investigator"
A Lender Be (RP)	Repointed	RP102	Adventure	Fantastic Dream		6	2												C	"You were so enamored of books that your goal was to be a librarian like your mentor TUKOR. He set you a task: You must discover 2 TOMES in different languages, and within them 2 SPELLS with different icons. You had to travel to 3 different GREAT LIBRARY OF THE DREAMLANDS cards, but in the end you succeeded. (When you play this card you may move your Spells among legal Tomes and Allies who can know a Spell)"
A Midsummer Night's Dream (RP)	Repointed	RP103	Adventure	Mythos Experience		10	3												R	"When THE CHILDREN HAVE SWEET DREAMS, you are finally able to rest. Falling asleep, you leave your Waking World HOUSE behind and find yourself wandering through the GATE OF DEEPER SLUMBER and into the CAVERN OF FLAME. Then the NIGHTMARE strikes! You wake to find yourself at a Waking World SITE! How did you get here? And what's that you're holding? (If you are in the Waking Wlord when this card is played, you may also play one Dreamlands Artifact or Tome)."
Alone in the World (RP)	Repointed	RP104	Adventure	Mythos Experience		8	2												F	"Some people are paranoid to PHOBIA levels. They carry a WEAPON and are always afraid of an AMBUSH. Skulking about in CEMETERY LOCATIONS (2 different cards) they often become CORRUPT CULTISTs and summon blasphemous horrors, such as the SERVITOR OF THE OUTER GODS, in rituals held in CATACOMBS or TOMBS."
An Heroic Rescue (RP)	Repointed	RP105	Adventure	Mythos Experience		5	1												U	"A STEADFAST AUTHOR, friend ally of yours, has been abducted by agents of the Mythos. Gathering your friends, you know you can rely on the REPORTER, the DOCTOR, the PRIVATE EYE, and the WIFE. The CORRUPT CULTIST has his lair in a CEMETERY, where you corner him with a WEAPON and capture his terrible TOME."
Arkham Horror (RP)	Repointed	RP106	Adventure	Heroic Adventure		9	3												F	"BUSINESS is terrible - the rain has turned into a DOWNPOUR. SAMUEL WINSOR and his FAITHFUL HOUNDS are forced to flee from TWO MONSTERS which erupt from the river near the MISKATONIC UNIVERSITY COMMONS. TWO STEADFAST ALLIES in a nearby house have a WEAPON and offer to help. The monsters destroy the ARKHAM GAZETTE (or ARKHAM ADVERTISER) building, but the group makes a stand at the STATION and defeats them"
Armed and Clueless (RP)	Repointed	RP107	Adventure	Fantastic Dream		8	3												R	"You first came across it in the old RUINS. What is this ENCHANTED WEAPON, and how does it work? You knew the ancient DREAMER could figure it out, but how to find him? You travelled to a LOCATION in the EAST, and then a LOCATION in the WEST, and finally found him in an EXOTIC LOCATION."
Ashes Ashes Azathoth (RP)	Repointed	RP108	Adventure	Heroic Adventure		8	3												U	"MONSTERS (2) have overrun the city. Through the sight of your WEAPON you see a BUSINESS and MUSEUM lying in RUINS, and an Army TANK lies broken and useless. You're on your own. You grab the cold metal of your TACTICAL NUCLEAR BOMB, and take careful aim at the CORRUPT CULTIST summoning his evil lord (a GREAT OLD ONE or OUTER GOD). You know that you are too close to survive yourself, but only you can end this madness."
Assault on Y'ha Nthlei (RP)	Repointed	RP109	Adventure	Heroic Adventure		12	4												R	"After a careful reading of  the PONAPE SCRIPTURE, R'LYEH TEXT, or CTHAAT AQUADINGEN (one of these, not in English), suggesting an ancient threat against humanity. Investigating you discover that hte threat is anything but ancient - barely escaping with you life after a cult of DEEP ONES (3) attempts to sacfirifce you to FATERH DAGON or MOTHER HYDRA. You convince a STEADFAST SOLDIER of this threat, and he calls in the Nav which dispatches a U-BOAT  to  attack the underwater city of Y'HA-NTHLEI. , burying the inhuman edifice forever"
Beyond Your Wildest Dreams (RP)	Repointed	RP110	Adventure	Fantastic Dream		6	2												C	"All your life you thought magic a child's myth, but now you know the magnificent truth! To begin you journey to a distant EXOTIC LOCATION - first TRAVEL BY LAND, and then TRAVEL BY AIR. Once there, with the proper STAR in the sky, you take out the ancient TOME in a Fantastic Language (Atleantean, Glyphs or Hyperborean) and chant the SPELL found within. You perform the magical rites of inititiation, and now may call yourself a PRIEST of the eternal powers. If the Castle of Great ones on Kadath is not in your Story Deck when you play this adventure, score an additional Adventure Point."
