Name	Expansion	Image	Type	Attributes	       Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
A Tiki Scare Is No Fair	Scooby	Scooby101	Adventure	Scooby Experience		11	4														"While vacationing in HAWAII, the gang was enjoying the local luau and dancing at the PINEAPPLE PARLOUR. Unfortunately, the part awoke the spirit of Mano Tiki Tia, and they were given a GHOSTLY WARNING to leave. The gang headed to the HAUNTED TIKI VILLAGE, to learn more about Mano Tiki Tia. The searched the WITCHDOCTOR'S HAUNTED HUT, and surrounding area. The WITCHDOCTOR showed up to chase them, but they gang found a HIDING SPOT and were able to SET A TRAP for the MONSTER."
Decoy For A Dognapper	Scooby	Scooby102	Adventure	Scooby Experience		8	2													C	"While at the local HANGOUT, the gang (at least 2 MEDDLING ALLIES) learns of several DOG nappings. After following A CLUE, the trial led straight into an ancient CLIFFSIDE VILLAGE in the COUNTRY. In the middle of searching through an old SACRED INDIAN ALTAR, the gang was suddenly surprised by a GHOST SHAMAN. After escaping they were lucky to DISCOVER A SECRET STASH. What the gang found was a plot by two criminals (2 CORRUPT ALLIES) to kidnap show dogs to righ an international dog sho"
Don't Fool With A Phantom	Scooby	Scooby103	Adventure	Scooby Experience		6	3													C	"The gane was at a dance party when all of a sudden, THE WAX PHANTOM appeared. Afterwards it's discovered that the general manager and good FRIEND of the gang has been kidnapped. Following a hunch, VELMA, suggests that they check out OLD MAN GRISBY, a war figure maker who was fired by the station years ago and vowed revenge. When they met him at his HOUSE, the claimed that he created the creature at his WAX WORKS in the basement of the WAX MUSUEM with the help of an ancient SPELL."
Malt Shop Shock Hop	Scooby	Scooby104	Adventure	Scooby Experience		6	2													C	"it's Saturday NIGHT and you're at the local HANGOUT with the rest of the gang (at leas 2 MEDDLING ALLIES). Someone starts telling a spooky story, when the lights go out. ZOINKS!, It's a MONSTER. As it approaches a CHASE SCENE ensures. Luckily you SET A TRAP, and save the DAY. With a job well done, it's time for a triple deck pastrami on rye with peanut butter, bananas and mustard to hit the spot..."
Mystery Mask Mixup	Scooby	Scooby105	Adventure	Scooby Experience		6	2													C	"While hanging out in Chinatown, DAPHNE, stepped into a local BUSINESS and purchased an old ARTIFACT. On the trip home, the gane awas stopped by a couple of MONSTERS (2 Different cards) who demanded an old mask the gang baught. After ditching the two goons, they stopped by a local art dealer who claimed the item was THE MASK OF ZEN TUO, and the GHOST OF ZEN TUO would stop at nothing to get it  back. But after some investigating, the gane discovered that the goons chasing them were art thieves who had the fask mask sent to the curio shop by mistake."
Scooby Doo And A Mummy Too	Scooby	Scooby106	Adventure	Scooby Experience		11	3														"SCOOBY and the gang (at least 2 other MEDDLING ALLIES) were visiting their SCHOLAR friend at the DEPARTMETN OF ARCHEOLOGY. The MUSUEM was displaying a new MUMMY and the rare COIN OF ANKH. While at the local MALT SHOP, the gane heard aboue a break in and sighting of a MONSTER over at the UNIVERSITY and rushed over to investigate. After find a TOME and a SPELL, the gang pieced together that the MUMMY was really DR. NAJIB dressed up, and that he wanted the priceless ARTIFACT to himself"
The 13 Ghosts Of Scooby Doo	Scooby	Scooby107	Adventure	Scooby Experience		7	2														"You and a STEADFAST ACTOR or ACTRESS accidentally set free a bakers dozen of undead nasties. Now you have to hunt them down. (13 Points with of LIVING DEAD MONSTES), in your story deck. Travelling to a SITE, some RUINS, a CEMETARY and even an UNDERGROUND LOCATION (4 DIFFERENT CARDS), you eventually get them all CAPTURED and stored inside of a special ARTIFACT. Whew, maybe next time you won't knock voer that deceased wizard's urn..."
The Grusome Game Of The Gator Ghoul	Scooby	Scooby108	Adventure	Scooby Experience		8	2														"While visiting with MA & PA KETTLE, at the SKILLET SHOWBOATD, the gane (at least 3 MEDDLINGS ALLIES) learned that most of the staff were scared away by THE GATOR GHOUL, a hideous demon infesting the nearby Hokeyfenoke Swamp. The gang stumbled upon some INCRIMINATING EVIDENCE while looking through SAM STINGEY'S CABIN, the janitor at the showboat. Looks like the monster was none other that a disgruntley employee (CORRUPT ALLEY) who had plans on stealing he recipe of rhte Kettle's famous FENOKE FIZZ soda."
Watch Out! The Willowaw!	Scooby	Scooby109	Adventure	Scooby Experience		8	2														"Relaxing at UNCLE DAVE'S CABIN was fun, until the gane (at least 2 MEDDLING ALLIES) were surprised by a large creature flying through the night skies. A local indian RED HERON told of the of THEWILLOWAWm who would snatch you up if an owl ever hooted your name. Returning home, the gang found the cabin RANSACKED, and Velma's uncle missing. Heading out to INDIAN PICTURE ROCK at NIGHT, the gang stumbled upon a cache of stolen goods in PICTURE ROCK CAVE. Seems that some thieves used the legend to scare people away."
What A Night For A Knight	Scooby	Scooby110	Adventure	Scooby Experience		7	2														"While driving along in the MYSTERY MACINE, the gang (at least 3 MEDDLING ALLIES) came upon a truck on the side of the road. It carried a large box with the adress to a local MUSEUM and was made out to a PROFESSOR HYDE-WHITE. The gang learned that the professor was missing as was the contents of the box, THE BLACK KNIGHT. During the NIGHT, the gang slipped in through the BACK DOOR, and searched the museum. Upon finding the MUSEUM SECRET ROOM, they knew that the culprit was PROFESSOR WICKLES."
Which Witch is Which?	Scooby	Scooby111	Adventure	Scooby Experience		6	2														"Taking a back road through an old bayou, the gane almost run over a ZOMBIE that was on the road. When at a local BUSINESS to get directions back to the highway, they learn the monster is under the control of a witch.  After a trip to ZEB PERKINS Place, it is discovered that he and another man are missing. Continuing on to the OLD WITCH's SHACK, VOODOO DOLLS are found! The trail leads down to a DERELICT RIVERBOAT where the truth is revealed! The two spooks are really Zeb and Zeke, who were searching for a lost treasure."
