Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Alone in the World	Std Cultist	StdC101	Adventure	Mythos Experience		7	2													F	"Some people are paranoid to PHOBIA levels. They carry a WEAPON and are always afraid of an AMBUSH. Skulking about in CEMETERY LOCATIONS (two different cards) they often become CORRUPT CULTISTs and summon blasphemous horrors, such as the SERVITOR OF THE OUTER GODS, in THE FORGOTTEN CRYPT."
Questionable Judgement	Std Cultist	StdC102	Adventure	Mythos Experience		5	1													F	"It all begain in a boring LIBRARY. All those books waiting to be sorted. There must be a better wayà but wait à that must TOME. Wow, is it old! It reveals TWO GATE LOCATIONS (in different cities) where one can summon a MONSTER. The tome also contains a blasphemous SPELL, completing the training of a new CORRUPT CULTIST"
The Price	Std Cultist	StdC103	Adventure	Corrupt Adventure		8	3													F	"By summoning a SERVITOR MONSTER, a CORRUPT CULTIST captures a STEADFAST ALLY from a KINSGPORT LOCATION. Taking him to dark N'KAI, the Cultist uses an ENCHANTED KNIFE for his unspeakable ceremony. From the smoke of burning incense, ancient TULZSCHA is brought forth."
Whispers in Darkness	Std Cultist	StdC104	Adventure	Corrupt Adventure		8	3													F	"The letter came from HENRY W. AKELEY. His tales were corroborated by the strange TOME and SPEECH MACHINE in his package. Traveling by CAR to the LONELY AKELEY FARMHOUSE revealed strange buzzing sounds from the building. Inside, Henry was conversing with N'GAH-KTHUN, planning a GOVERNMENTAL COVER-UP."
Dr. Allen	Std Cultist	StdC202	Ally	Corrupt Cultist	"English, Glyph"	2	-1		Unique			Lovecraft	Providence							F	Can know any one Spell. Bury Spell in your Story Deck after it is cast. Joins Gomes
Gomes	Std Cultist	StdC203	Ally	Corrupt Cultist	Knows No languages	2						Lovecraft	Providence							F	"While this card is in play, subtract one from the Minimum number of cards that you keep in your hand. Not cumulative with other Allies that lower your Minimum. Joins Dr. Allen"
Henry W. Akeley	Std Cultist	StdC204	Ally	Corrupt Cultist & Scholar	"English, Greek & Glyph"	1						Lovecraft	Vermont							F	Add 1 point to the value of this card whenever you have a Country Location as the top card of your Story Deck.
Miss Anna Tilton	Std Cultist	StdC201	Ally	Steadfast Friend	English	1	1					Lovecraft	Vermont							F	"While this card is in play, on a later turn you may assign to Mis Anna tilton, curator of the Historical Society, one Artifact card at any Location. This Artifact remains with Anna and suffers any fate that Anna suffers. The Artifact may be replaced with another, if lost."
Ray Stuckey	Std Cultist	StdC205	Ally	Corrupt Police Detective	English	3						Lovecraft	Arkham							F	"Protection from Police Investigation and from cards that cause you to lose Artifacts and Tomes. At the moment when you would lose an Artifact or Tome, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
Squire Sawyer Whateley	Std Cultist	StdC206	Ally	Steadfast Gentleman	English	2						Lovecraft	Any Country							F	"While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum."
