Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Arkham Horror	Std Steafast	StdS101	Adventure	Heroic Adventure		8	3													F	"BUSINESS is terrible - the rain has turned into a DOWNPOUR. SAMUEL WINSOR and his FAITHFUL HOUNDS are forced to flee from TWO MONSTERS which erupt from the river near the MISKATONIC UNIVERSITY COMMONS. TWO STEADFAST ALLIES in a nearby house have a WEAPON and offer to help. The monsters destroy the ARKHAM GAZETTE building, but the group makes a stand at the STATION and defeats them"
Searching for Laban Shrewsbury	Std Steafast	StdS102	Adventure	Heroic Adventure		8	3													F	"A LETTER FROM A FRIEND reveals that noted explorer LABAN SHREWSBURY is missing. The ARKHAM POLICE DEPARTMENT has been notified, but Detective LUTHER HARDEN has had no luck in his search. He thinks Dr. Shrewsbury may have been captured by a HUNTING HORROR. After Harden gets his WEAPON, the search lasts into the EVENING before Dr. Shrewbury is found trapped in the OLD CONGREGATIONAL CHURCH"
The Mystery at Martin's Beach	Std Steafast	StdS103	Adventure	Mythos Experience		7	2													F	"There is a big party for a STEADFAST ALLY at MARTIN'S BEACH, but it ends in horror when THE MARTIN'S BEACH MONSTER rises from the bowels of the sea. All those present develop a terrible PHOBIA. They must now regularly take DR HAMMOND'S NERVE & BRAIN TABLETS to stop their nightmares of CTHULHU RISING"
Two Cities and a Tale	Std Steafast	StdS104	Adventure	Mythos Experience		5	1													F	"The journey began in a KINGSPORT LOCATION. From there, the TRAIN allowed passage to a NEW YORK LOCATION where MRS SONIA LOVECRAFT introduced you to the famous AUTHOR. The evening was spent listening to his fascinating MONSTER stories. How could he make it all up?"
Frank Belknap Long	Std Steafast	StdS201	Ally	Steadfast Author	English & Glyph	2						Lovecraft	New York							F	"While this card is in play, subtract one from the Minimum number of cards that you keep in your hand. Not cumulative with other Allies that lower your Minimum"
Granny Orne	Std Steafast	StdS202	Ally	Steadfast Widow	English	1	1					Lovecraft	Kingsport							F	Remain with Granny Orne for an additional Turn in any Kingsport Location and cause one Phobia affecting your Investigator to be Buried.
Harry Houdini	Std Steafast	StdS203	Ally	Steadfast Entertainer	English	2			Unique			Lovecraft	New York							F	"A noted escape artist, Bury Harry Houdini only if he takes his full card value in Sanity loss during Combat."
Howard Lovecraft (v4)	Std Steafast	StdS204	Ally	Steadfast Author	English & Hyperborean	2	1					Lovecraft	New York							F	Add 1 point to the value if this card when you Mrs. Sonia Lovecraft in play. Joins with Mrs. Sonia Lovecraft.
Laban Shrewsbury	Std Steafast	StdS205	Ally	Steadfast Explorer	English & Atlantean	1						Lovecraft	Arkham							F	"While this card is in play, you may later assign to Laban Shrewsbury one Tome card at any Location. This Tome remains with Laban and suffers any fate that Laban suffers. The Tome may contain Spells. The Tome may be replaced with another, if lost."
Luther Harden	Std Steafast	StdS206	Ally	Steadfast Police Detective	English	3						Lovecraft	Arkham							F	"Protection from Police Investigation and from cards that cause you to lose Artifacts and Tomes. At the moment when you would lose an Artifact or Tome, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
Mrs. Sonia Lovecraft	Std Steafast	StdS207	Ally	Steadfast Wife	English	1						Lovecraft	New York							F	"Add 2 points to the value of this card while you have Howard Lovecraft in play. Also, Mrs Sonia Lovecraft is not turned Attributes: Corrupt by cards that turn Allies Attributes: Corrupt . Joins Howard Lovecraft."
Samuel Winsor	Std Steafast	StdS208	Ally	Steadfast Priest	English & Latin	1						Any Non-Gate								F	"As your turn, Flip this card and your Current Location gains the Church attribute as long as Samuel Winsor remains Flipped and that Location remains your top Story Deck card. During each additional Turn that you remain in this Location and that Winsor remains Flipped you may Bury one Phobia affecting your Investigator."
The Terrible Old Man	Std Steafast	StdS209	Ally	Corrupt Cultist & Seaman	English	1			Unique			Lovecraft	Kingsport							F	"Can know any one Spell. Bury Spell in your Story Deck after it is cast. Protection from cards that cause you to lose Artifacts. At the moment when you would lose an Artifact, you may choose to Bury this card instead. Your opponent must then Bury his or her card."
.30/'06 Bold-Action Rifle 	Std Steafast	StdS301	Artifact	Weapon		3														F	"Add 3 points to Ally's value. One Weapon per Ally. If Ally is Discarded or Buried, this Weapon suffers the same fate. "
Cast-Iron Skillet 	Std Steafast	StdS302	Artifact	Weapon		1	1													F	"Add 1 point to Ally's value. One Weapon per Ally. If Ally is due to be Buried, you may immediately give it to another Ally. "
Dr. Hammond's Nerve & Brain Tablets 	Std Steafast	StdS303	Artifact																	F	"Give this card to one of your Allies in play. That Ally and one other of your choice are excluded (as if they weren't present) when determining the results of an Epidemic. If Ally is Buried or Discarded, then this Artifact suffers the same fate. "
Faithful Hounds 	Std Steafast	StdS304	Artifact			1														F	Add 1 point to Ally's value. Enchantedou may Discard this card and cause a random Monster in an opponent's Directed Threat to be Buried. 
